date,rookery,section,obs,resample,count
8/18/16,ECL,1,JTS,1,3
8/18/16,ECL,1,JTS,1,4
8/18/16,ECL,1,JTS,1,2
8/18/16,ECL,1,JTS,1,4
8/18/16,ECL,1,JTS,1,1
8/18/16,ECL,1,JTS,1,0
8/18/16,ECL,1,JTS,1,3
8/18/16,ECL,1,JTS,1,3
8/18/16,ECL,1,JTS,1,0
8/18/16,ECL,1,JTS,1,1
8/18/16,ECL,1,JTS,1,2
8/18/16,ECL,1,JTS,1,4
8/18/16,ECL,1,JTS,1,1
8/18/16,ECL,1,JTS,1,4
8/18/16,ECL,1,JTS,1,3
8/18/16,ECL,1,JTS,1,2
8/18/16,ECL,1,JTS,1,1
8/18/16,ECL,1,JTS,1,2
8/18/16,ECL,1,JTS,1,2
8/18/16,ECL,1,JTS,1,4
8/18/16,ECL,1,JTS,1,3
8/18/16,ECL,2,JTS,1,2
8/18/16,ECL,2,JTS,1,2
8/18/16,ECL,2,JTS,1,2
8/18/16,ECL,2,JTS,1,4
8/18/16,ECL,2,JTS,1,3
8/18/16,ECL,2,JTS,1,0
8/18/16,ECL,2,JTS,1,2
8/18/16,ECL,2,JTS,1,4
8/18/16,ECL,2,JTS,1,1
8/18/16,ECL,2,JTS,1,2
8/18/16,ECL,2,JTS,1,3
8/18/16,ECL,2,JTS,1,3
8/18/16,ECL,2,JTS,1,1
8/18/16,ECL,2,JTS,1,1
8/18/16,ECL,2,JTS,1,4
8/18/16,ECL,2,JTS,1,2
8/18/16,ECL,2,JTS,1,3
8/18/16,ERE,1,JTS,1,1
8/18/16,ERE,1,JTS,1,2
8/18/16,ERE,1,JTS,1,1
8/18/16,ERE,1,JTS,1,0
8/18/16,ERE,1,JTS,1,2
8/18/16,ERE,1,JTS,1,2
8/18/16,ERE,1,JTS,1,3
8/18/16,ERE,1,JTS,1,3
8/18/16,ERE,1,JTS,1,2
8/18/16,ERE,1,JTS,1,3
8/18/16,ERE,1,JTS,1,1
8/18/16,ERE,1,JTS,1,2
8/18/16,ERE,1,JTS,1,3
8/18/16,ERE,1,JTS,1,4
8/18/16,ERE,1,JTS,1,2
8/18/16,ERE,1,JTS,1,4
8/18/16,ERE,1,JTS,1,1
8/18/16,ERE,1,JTS,1,2
8/18/16,ERE,1,JTS,1,2
8/18/16,ERE,1,JTS,1,1
8/18/16,ERE,1,JTS,1,1
8/18/16,ERE,1,JTS,1,3
8/18/16,ECL,1,JDB,1,5
8/18/16,ECL,1,JDB,1,3
8/18/16,ECL,1,JDB,1,1
8/18/16,ECL,1,JDB,1,2
8/18/16,ECL,1,JDB,1,4
8/18/16,ECL,1,JDB,1,0
8/18/16,ECL,1,JDB,1,3
8/18/16,ECL,1,JDB,1,1
8/18/16,ECL,1,JDB,1,4
8/18/16,ECL,1,JDB,1,3
8/18/16,ECL,2,JDB,1,0
8/18/16,ECL,2,JDB,1,1
8/18/16,ECL,2,JDB,1,3
8/18/16,ECL,2,JDB,1,2
8/18/16,ECL,2,JDB,1,2
8/18/16,ECL,2,JDB,1,0
8/18/16,ECL,2,JDB,1,4
8/18/16,ECL,2,JDB,1,0
8/18/16,ECL,2,JDB,1,1
8/18/16,ECL,2,JDB,1,3
8/18/16,ECL,2,JDB,1,1
8/18/16,ECL,2,JDB,1,4
8/18/16,ECL,2,JDB,1,1
8/18/16,ECL,2,JDB,1,1
8/18/16,ECL,2,JDB,1,6
8/18/16,ECL,2,JDB,1,1
8/18/16,ECL,2,JDB,1,3
8/18/16,ECL,1,JDB,1,4
8/18/16,ECL,1,JDB,1,3
8/18/16,ECL,1,JDB,1,4
8/18/16,ECL,1,JDB,1,1
8/18/16,ECL,1,JDB,1,2
8/18/16,ECL,1,JDB,1,2
8/18/16,ECL,1,JDB,1,3
8/18/16,ECL,1,JDB,1,3
8/18/16,ECL,1,JDB,1,1
8/18/16,ECL,1,JDB,1,2
8/18/16,ECL,1,JDB,1,3
8/18/16,ERE,1,JDB,1,1
8/18/16,ERE,1,JDB,1,0
8/18/16,ERE,1,JDB,1,2
8/18/16,ERE,1,JDB,1,2
8/18/16,ERE,1,JDB,1,2
8/18/16,ERE,1,JDB,1,2
8/18/16,ERE,1,JDB,1,2
8/18/16,ERE,1,JDB,1,2
8/18/16,ERE,1,JDB,1,1
8/18/16,ERE,1,JDB,1,3
8/18/16,ERE,1,JDB,1,3
8/18/16,ERE,1,JDB,1,1
8/18/16,ERE,1,JDB,1,2
8/18/16,ERE,1,JDB,1,3
8/18/16,ERE,1,JDB,1,1
8/18/16,ERE,1,JDB,1,3
8/18/16,ERE,1,JDB,1,1
8/18/16,ERE,1,JDB,1,3
8/18/16,ERE,1,JDB,1,1
8/18/16,ERE,1,JDB,1,3
8/18/16,ERE,1,JDB,1,4
8/18/16,ERE,1,JDB,1,2
8/18/16,ERE,1,JDB,1,1
8/18/16,ERE,1,JDB,1,3
8/18/16,ERE,1,JDB,1,1
8/18/16,ERE,1,JDB,1,2
8/18/16,ERE,1,JDB,1,3
8/18/16,ERE,1,JDB,1,2
8/18/16,ERE,1,JDB,1,1
8/18/16,ERE,1,JDB,1,2
8/19/16,SGZ,1,JDB,1,6
8/19/16,SGZ,1,JDB,1,2
8/19/16,SGZ,1,JDB,1,4
8/19/16,SGZ,1,JDB,1,5
8/19/16,SGZ,1,JDB,1,4
8/19/16,SGZ,1,JDB,1,6
8/19/16,SGZ,1,JDB,1,3
8/19/16,SGZ,1,JDB,1,3
8/19/16,SGZ,1,JDB,1,1
8/19/16,SGZ,1,JDB,1,2
8/19/16,SGZ,1,JDB,1,3
8/19/16,SGZ,1,JDB,1,5
8/19/16,SGZ,1,JDB,1,2
8/19/16,SGZ,1,JDB,1,4
8/19/16,SGZ,1,JDB,1,4
8/19/16,SGZ,1,JDB,1,1
8/19/16,SGZ,1,JDB,1,3
8/19/16,SGZ,1,JDB,1,1
8/19/16,SGZ,1,JDB,1,1
8/19/16,SGZ,1,JDB,1,3
8/19/16,SGZ,1,JDB,1,2
8/19/16,SGZ,1,JDB,1,6
8/19/16,SGZ,1,JDB,1,2
8/19/16,SGZ,1,JDB,1,5
8/19/16,SGZ,1,JDB,1,4
8/19/16,SGZ,1,JDB,1,3
8/19/16,SOU,1,JDB,1,3
8/19/16,SOU,1,JDB,1,0
8/19/16,SOU,1,JDB,1,6
8/19/16,SOU,1,JDB,1,2
8/19/16,SOU,1,JDB,1,2
8/19/16,SOU,1,JDB,1,2
8/19/16,SOU,1,JDB,1,4
8/19/16,SOU,1,JDB,1,4
8/19/16,SOU,1,JDB,1,0
8/19/16,SOU,1,JDB,1,1
8/19/16,SOU,1,JDB,1,3
8/19/16,SOU,1,JDB,1,6
8/19/16,SOU,1,JDB,1,0
8/19/16,SOU,1,JDB,1,4
8/19/16,SOU,1,JDB,1,3
8/19/16,SOU,1,JDB,1,1
8/19/16,SOU,1,JDB,1,2
8/19/16,SOU,1,JDB,1,2
8/19/16,SOU,1,JDB,1,2
8/19/16,SOU,1,JDB,1,2
8/19/16,SOU,1,JDB,1,4
8/19/16,SOU,1,JDB,1,0
8/19/16,SOU,1,JDB,1,0
8/19/16,SOU,1,JDB,1,1
8/19/16,SOU,1,JDB,1,3
8/19/16,SOU,1,JDB,1,3
8/19/16,SOU,1,JDB,1,1
8/19/16,SOU,1,JDB,1,5
8/19/16,SOU,1,JDB,1,5
8/19/16,SOU,1,JDB,1,3
8/19/16,SOU,1,JDB,1,4
8/19/16,SOU,1,JDB,1,1
8/19/16,SOU,1,JDB,1,1
8/19/16,SOU,1,JDB,1,3
8/19/16,SOU,1,JDB,1,2
8/19/16,SOU,1,JDB,1,1
8/19/16,SOU,1,JDB,1,2
8/19/16,SGZ,3,JTS,1,3
8/19/16,SGZ,3,JTS,1,3
8/19/16,SGZ,3,JTS,1,2
8/19/16,SGZ,3,JTS,1,3
8/19/16,SGZ,3,JTS,1,4
8/19/16,SGZ,2,JTS,1,1
8/19/16,SGZ,2,JTS,1,4
8/19/16,SGZ,2,JTS,1,4
8/19/16,SGZ,2,JTS,1,2
8/19/16,SGZ,2,JTS,1,3
8/19/16,SGZ,2,JTS,1,0
8/19/16,SGZ,2,JTS,1,3
8/19/16,SGZ,2,JTS,1,1
8/19/16,SGZ,2,JTS,1,4
8/19/16,SGZ,2,JTS,1,3
8/19/16,SGZ,2,JTS,1,3
8/19/16,SGZ,2,JTS,1,0
8/19/16,SGZ,2,JTS,1,1
8/19/16,SGZ,2,JTS,1,2
8/19/16,SGZ,2,JTS,1,1
8/19/16,SGZ,1,JTS,1,1
8/19/16,SGZ,1,JTS,1,2
8/19/16,SGZ,1,JTS,1,2
8/19/16,SGZ,1,JTS,1,4
8/19/16,SGZ,1,JTS,1,1
8/19/16,SGZ,1,JTS,1,1
8/19/16,SOU,1,JTS,1,2
8/19/16,SOU,1,JTS,1,1
8/19/16,SOU,1,JTS,1,3
8/19/16,SOU,1,JTS,1,3
8/19/16,SOU,1,JTS,1,6
8/19/16,SOU,1,JTS,1,3
8/19/16,SOU,1,JTS,1,3
8/19/16,SOU,1,JTS,1,3
8/19/16,SOU,1,JTS,1,4
8/19/16,SOU,1,JTS,1,2
8/19/16,SOU,1,JTS,1,2
8/19/16,SOU,1,JTS,1,4
8/19/16,SOU,2,JTS,1,4
8/19/16,SOU,2,JTS,1,1
8/19/16,SOU,2,JTS,1,2
8/19/16,SOU,2,JTS,1,3
8/19/16,SOU,2,JTS,1,1
8/19/16,SOU,2,JTS,1,4
8/19/16,SOU,2,JTS,1,0
8/19/16,SOU,2,JTS,1,2
8/19/16,SOU,2,JTS,1,3
8/19/16,SOU,2,JTS,1,1
8/19/16,SOU,2,JTS,1,2
8/19/16,SOU,2,JTS,1,4
8/19/16,SOU,2,JTS,1,2
8/19/16,SOU,2,JTS,1,1
8/19/16,SOU,2,JTS,1,2
8/19/16,SOU,2,JTS,1,1
8/19/16,SOU,2,JTS,1,5
8/19/16,SOU,3,JTS,1,5
8/19/16,SOU,3,JTS,1,2
8/19/16,SOU,3,JTS,1,3
8/19/16,SOU,3,JTS,1,3
8/19/16,SOU,3,JTS,1,4
8/19/16,SOU,3,JTS,1,2
8/19/16,SOU,3,JTS,1,0
8/19/16,SOU,3,JTS,1,2
8/19/16,SOU,3,JTS,1,2
8/21/16,STA,1,JDB,1,2
8/21/16,STA,1,JDB,1,2
8/21/16,STA,1,JDB,1,1
8/21/16,STA,1,JDB,1,5
8/21/16,STA,1,JDB,1,4
8/21/16,STA,1,JDB,1,2
8/21/16,STA,1,JDB,1,3
8/21/16,STA,1,JDB,1,1
8/21/16,NOR,5,JDB,1,1
8/21/16,NOR,5,JDB,1,2
8/21/16,NOR,5,JDB,1,3
8/21/16,NOR,5,JDB,1,4
8/21/16,NOR,5,JDB,1,2
8/21/16,NOR,5,JDB,1,0
8/21/16,NOR,5,JDB,1,3
8/21/16,NOR,4,JDB,1,2
8/21/16,NOR,4,JDB,1,0
8/21/16,NOR,4,JDB,1,3
8/21/16,NOR,4,JDB,1,3
8/21/16,NOR,4,JDB,1,2
8/21/16,NOR,4,JDB,1,2
8/21/16,NOR,4,JDB,1,3
8/21/16,NOR,4,JDB,1,2
8/21/16,NOR,4,JDB,1,1
8/21/16,NOR,4,JDB,1,3
8/21/16,NOR,4,JDB,1,3
8/21/16,NOR,3,JDB,1,3
8/21/16,NOR,3,JDB,1,4
8/21/16,NOR,3,JDB,1,3
8/21/16,NOR,3,JDB,1,4
8/21/16,NOR,3,JDB,1,5
8/21/16,NOR,3,JDB,1,4
8/21/16,NOR,3,JDB,1,3
8/21/16,NOR,3,JDB,1,5
8/21/16,NOR,3,JDB,1,3
8/21/16,NOR,3,JDB,1,6
8/21/16,NOR,3,JDB,1,2
8/21/16,NOR,3,JDB,1,3
