date,rookery,section,obs,resample,count
8/12/16,MOR,0,RT,1,2
8/12/16,MOR,0,RT,1,3
8/12/16,MOR,0,RT,1,0
8/12/16,MOR,0,RT,1,2
8/12/16,MOR,0,RT,1,1
8/12/16,MOR,0,RT,1,4
8/12/16,MOR,0,RT,1,2
8/12/16,MOR,0,RT,1,2
8/12/16,MOR,1,RT,1,2
8/12/16,MOR,1,RT,1,2
8/12/16,MOR,1,RT,1,1
8/12/16,MOR,1,RT,1,1
8/12/16,MOR,1,RT,1,2
8/12/16,MOR,1,RT,1,5
8/12/16,MOR,1,RT,1,3
8/12/16,MOR,1,RT,1,5
8/12/16,MOR,1,RT,1,1
8/12/16,MOR,1,RT,1,1
8/12/16,MOR,1,RT,1,3
8/12/16,MOR,1,RT,1,5
8/12/16,MOR,1,RT,1,1
8/12/16,MOR,1,RT,1,1
8/12/16,MOR,1,RT,1,5
8/12/16,MOR,2,RT,1,3
8/12/16,MOR,2,RT,1,3
8/12/16,MOR,2,RT,1,4
8/12/16,MOR,2,RT,1,5
8/12/16,MOR,2,RT,1,2
8/12/16,MOR,2,RT,1,5
8/12/16,MOR,2,RT,1,5
8/12/16,MOR,2,RT,1,5
8/12/16,MOR,2,RT,1,3
8/12/16,MOR,2,RT,1,1
8/12/16,MOR,2,RT,1,3
8/12/16,MOR,2,RT,1,2
8/12/16,MOR,2,RT,1,4
8/12/16,MOR,2,RT,1,3
8/12/16,MOR,2,RT,1,3
8/12/16,MOR,2,RT,1,7
8/12/16,MOR,2,RT,1,6
8/12/16,MOR,3,RT,1,3
8/12/16,MOR,3,RT,1,2
8/12/16,MOR,3,RT,1,5
8/12/16,MOR,3,RT,1,3
8/12/16,MOR,3,RT,1,5
8/12/16,MOR,3,RT,1,3
8/12/16,MOR,3,RT,1,7
8/12/16,MOR,3,RT,1,3
8/12/16,MOR,3,RT,1,3
8/12/16,MOR,3,RT,1,1
8/12/16,MOR,3,RT,1,4
8/12/16,MOR,3,RT,1,5
8/12/16,MOR,3,RT,1,1
8/12/16,MOR,3,RT,1,4
8/12/16,MOR,3,RT,1,1
8/12/16,MOR,3,RT,1,4
8/12/16,MOR,4,RT,1,1
8/12/16,MOR,4,RT,1,4
8/12/16,MOR,4,RT,1,2
8/12/16,MOR,4,RT,1,0
8/12/16,MOR,4,RT,1,4
8/12/16,MOR,4,RT,1,2
8/12/16,MOR,4,RT,1,5
8/12/16,MOR,4,RT,1,2
8/12/16,MOR,5,RT,1,2
8/12/16,MOR,5,RT,1,1
8/12/16,MOR,5,RT,1,8
8/12/16,MOR,5,RT,1,2
8/12/16,MOR,5,RT,1,2
8/12/16,MOR,5,RT,1,2
8/12/16,MOR,5,RT,1,2
8/12/16,MOR,5,RT,1,2
8/12/16,MOR,5,RT,1,4
8/12/16,MOR,5,RT,1,3
8/12/16,MOR,5,RT,1,4
8/12/16,MOR,5,RT,1,2
8/12/16,MOR,6,RT,1,2
8/12/16,MOR,6,RT,1,2
8/12/16,MOR,6,RT,1,3
8/12/16,MOR,6,RT,1,3
8/12/16,MOR,6,RT,1,3
8/14/16,VOS,14,RT,1,2
8/14/16,VOS,14,RT,1,3
8/14/16,VOS,14,RT,1,2
8/14/16,VOS,14,RT,1,6
8/14/16,VOS,14,RT,1,2
8/14/16,VOS,14,RT,1,3
8/14/16,VOS,14,RT,1,6
8/14/16,VOS,14,RT,1,0
8/14/16,VOS,14,RT,1,3
8/14/16,VOS,14,RT,1,3
8/14/16,VOS,14,RT,1,4
8/14/16,VOS,14,RT,1,1
8/14/16,VOS,14,RT,1,3
8/14/16,VOS,14,RT,1,2
8/14/16,VOS,14,RT,1,5
8/14/16,VOS,13,RT,1,0
8/14/16,VOS,13,RT,1,2
8/14/16,VOS,13,RT,1,2
8/14/16,VOS,13,RT,1,5
8/14/16,VOS,13,RT,1,6
8/14/16,VOS,13,RT,1,4
8/14/16,VOS,13,RT,1,2
8/14/16,VOS,13,RT,1,2
8/14/16,VOS,13,RT,1,7
8/14/16,VOS,13,RT,1,3
8/14/16,VOS,13,RT,1,3
8/14/16,VOS,13,RT,1,2
8/14/16,VOS,13,RT,1,2
8/14/16,VOS,13,RT,1,4
8/14/16,VOS,13,RT,1,4
8/14/16,VOS,13,RT,1,6
8/14/16,VOS,13,RT,1,2
8/14/16,VOS,12,RT,1,2
8/14/16,VOS,12,RT,1,4
8/14/16,VOS,12,RT,1,2
8/14/16,VOS,12,RT,1,4
8/14/16,VOS,12,RT,1,1
8/14/16,VOS,12,RT,1,3
8/14/16,VOS,12,RT,1,3
8/14/16,VOS,12,RT,1,3
8/14/16,VOS,11,RT,1,4
8/14/16,VOS,11,RT,1,1
8/14/16,VOS,11,RT,1,6
8/14/16,VOS,11,RT,1,1
8/14/16,VOS,10,RT,1,1
8/14/16,VOS,10,RT,1,5
8/14/16,VOS,9,RT,1,4
8/14/16,VOS,9,RT,1,2
8/14/16,VOS,9,RT,1,6
8/14/16,VOS,9,RT,1,5
8/14/16,VOS,9,RT,1,3
8/14/16,VOS,8,RT,1,3
8/14/16,VOS,8,RT,1,1
8/14/16,VOS,8,RT,1,0
8/14/16,VOS,8,RT,1,3
8/14/16,VOS,8,RT,1,2
8/14/16,VOS,7,RT,1,2
8/14/16,VOS,7,RT,1,4
8/14/16,VOS,7,RT,1,4
8/14/16,VOS,7,RT,1,4
8/14/16,VOS,7,RT,1,5
8/14/16,VOS,7,RT,1,9
8/14/16,VOS,6,RT,1,1
8/14/16,VOS,6,RT,1,3
8/14/16,VOS,6,RT,1,3
8/14/16,VOS,6,RT,1,1
8/14/16,VOS,6,RT,1,2
8/14/16,VOS,6,RT,1,2
8/14/16,VOS,6,RT,1,1
8/14/16,VOS,6,RT,1,1
8/14/16,VOS,6,RT,1,2
8/14/16,VOS,6,RT,1,2
8/14/16,VOS,6,RT,1,4
8/14/16,VOS,6,RT,1,2
8/14/16,VOS,6,RT,1,2
8/14/16,VOS,6,RT,1,5
8/14/16,VOS,6,RT,1,3
8/14/16,VOS,6,RT,1,1
8/14/16,VOS,6,RT,1,2
8/14/16,VOS,6,RT,1,2
8/14/16,VOS,5,RT,1,0
8/14/16,VOS,5,RT,1,4
8/14/16,VOS,5,RT,1,3
8/14/16,VOS,5,RT,1,2
8/14/16,VOS,5,RT,1,2
8/14/16,VOS,5,RT,1,2
8/14/16,VOS,5,RT,1,3
8/14/16,VOS,5,RT,1,3
8/14/16,VOS,5,RT,1,3
8/14/16,VOS,5,RT,1,2
8/14/16,VOS,4,RT,1,1
8/14/16,VOS,4,RT,1,4
8/14/16,VOS,4,RT,1,1
8/14/16,VOS,4,RT,1,2
8/14/16,VOS,4,RT,1,2
8/14/16,VOS,4,RT,1,3
8/14/16,VOS,4,RT,1,1
8/14/16,VOS,4,RT,1,6
8/14/16,VOS,3,RT,1,3
8/14/16,VOS,3,RT,1,3
8/14/16,VOS,3,RT,1,1
8/14/16,VOS,3,RT,1,5
8/14/16,VOS,2,RT,1,4
8/14/16,VOS,2,RT,1,4
8/14/16,VOS,2,RT,1,1
8/14/16,VOS,1,RT,1,1
8/14/16,VOS,1,RT,1,4
8/14/16,VOS,1,RT,1,3
8/14/16,VOS,1,RT,1,2
8/14/16,VOS,1,RT,1,2
8/14/16,VOS,1,RT,1,5
8/15/16,TOL,8,RT,1,4
8/15/16,TOL,8,RT,1,3
8/15/16,TOL,8,RT,1,3
8/15/16,TOL,8,RT,1,4
8/15/16,TOL,8,RT,1,2
8/15/16,TOL,7,RT,1,1
8/15/16,TOL,7,RT,1,5
8/15/16,TOL,7,RT,1,6
8/15/16,TOL,7,RT,1,2
8/15/16,TOL,7,RT,1,1
8/15/16,TOL,7,RT,1,4
8/15/16,TOL,7,RT,1,5
8/15/16,TOL,7,RT,1,3
8/15/16,TOL,7,RT,1,2
8/15/16,TOL,6,RT,1,2
8/15/16,TOL,6,RT,1,3
8/15/16,TOL,6,RT,1,2
8/15/16,TOL,6,RT,1,3
8/15/16,TOL,6,RT,1,2
8/15/16,TOL,6,RT,1,4
8/15/16,TOL,6,RT,1,4
8/15/16,TOL,5,RT,1,4
8/15/16,TOL,5,RT,1,2
8/15/16,TOL,5,RT,1,3
8/15/16,TOL,5,RT,1,2
8/15/16,TOL,4,RT,1,5
8/15/16,TOL,4,RT,1,7
8/15/16,TOL,3,RT,1,5
8/15/16,TOL,2,RT,1,3
8/15/16,TOL,2,RT,1,2
8/15/16,TOL,1,RT,1,0
8/15/16,TOL,1,RT,1,1
8/15/16,TOL,1,RT,1,3
8/15/16,LZA,1,RT,1,3
8/15/16,LZA,1,RT,1,2
8/15/16,LZA,2,RT,1,2
8/15/16,LZA,2,RT,1,1
8/15/16,LZA,2,RT,1,2
8/15/16,LZA,2,RT,1,0
8/15/16,LZA,2,RT,1,1
8/15/16,LZA,2,RT,1,3
8/15/16,LZA,2,RT,1,3
8/15/16,LZA,3,RT,1,5
8/15/16,LZA,3,RT,1,6
8/15/16,LZA,3,RT,1,3
8/15/16,LZA,3,RT,1,2
8/15/16,LZA,3,RT,1,2
8/15/16,LZA,3,RT,1,0
8/15/16,LZA,3,RT,1,4
8/15/16,LZA,3,RT,1,3
8/15/16,LZA,4,RT,1,3
8/15/16,LZA,4,RT,1,4
8/15/16,LZA,4,RT,1,4
8/15/16,LZA,4,RT,1,3
8/15/16,LZA,5,RT,1,4
8/15/16,LZA,5,RT,1,3
8/15/16,LZA,5,RT,1,1
8/15/16,LZA,5,RT,1,3
8/15/16,LZA,5,RT,1,1
8/15/16,LZA,5,RT,1,2
8/15/16,LZA,5,RT,1,5
8/15/16,LZA,5,RT,1,3
8/15/16,LZA,6,RT,1,3
8/15/16,LZA,6,RT,1,3
8/15/16,LZA,6,RT,1,2
8/15/16,LZA,6,RT,1,4
8/15/16,LZA,6,RT,1,3
8/15/16,LZA,6,RT,1,3
8/15/16,LZA,6,RT,1,1
8/15/16,LZA,6,RT,1,2
8/15/16,LZA,6,RT,1,4
8/15/16,LZA,6,RT,1,2
8/16/16,ZAR,2,RT,1,2
8/16/16,ZAR,2,RT,1,1
8/16/16,ZAR,2,RT,1,3
8/16/16,ZAR,2,RT,1,2
8/16/16,ZAR,2,RT,1,1
8/16/16,ZAR,2,RT,1,4
8/16/16,ZAR,2,RT,1,5
8/16/16,ZAR,1,RT,1,5
8/16/16,ZAR,1,RT,1,2
8/16/16,ZAR,1,RT,1,4
8/16/16,ZAR,1,RT,1,2
8/16/16,ZAR,1,RT,1,4
8/16/16,ZAR,1,RT,1,2
8/16/16,ZAR,1,RT,1,4
8/16/16,ZAR,1,RT,1,2
8/16/16,ZAR,1,RT,1,5
8/16/16,ZAR,1,RT,1,1
8/16/16,ZAR,1,RT,1,3
8/16/16,ZAR,1,RT,1,5
8/16/16,ZAR,1,RT,1,4
8/16/16,ZAR,1,RT,1,2
8/16/16,ZAR,1,RT,1,4
8/16/16,ZAR,1,RT,1,3
8/16/16,ZAR,1,RT,1,5
8/16/16,ZAR,1,RT,1,2
8/16/16,ZAR,1,RT,1,3
8/16/16,ZAR,1,RT,1,5
8/16/16,ZAR,1,RT,1,5
8/16/16,ZAR,1,RT,1,2
8/16/16,ZAR,1,RT,1,1
8/16/16,ZAR,1,RT,1,4
8/16/16,ZAR,1,RT,1,1
8/16/16,ZAR,1,RT,1,1
8/16/16,LUK,1,RT,1,5
8/16/16,LUK,1,RT,1,6
8/16/16,LUK,1,RT,1,5
8/16/16,LUK,1,RT,1,5
8/16/16,LUK,1,RT,1,1
8/16/16,LUK,1,RT,1,2
8/16/16,LUK,1,RT,1,4
8/16/16,LUK,1,RT,1,1
8/16/16,LUK,1,RT,1,2
8/16/16,LUK,1,RT,1,5
8/16/16,LUK,1,RT,1,4
8/16/16,LUK,1,RT,1,5
8/16/16,LUK,1,RT,1,4
8/16/16,LUK,1,RT,1,2
8/16/16,LUK,1,RT,1,2
8/16/16,LUK,1,RT,1,3
8/16/16,LUK,1,RT,1,4
8/16/16,LUK,2,RT,1,3
8/16/16,LUK,2,RT,1,2
8/16/16,LUK,2,RT,1,2
8/16/16,LUK,2,RT,1,3
8/16/16,LUK,2,RT,1,3
8/16/16,LUK,2,RT,1,4
8/16/16,LUK,2,RT,1,2
8/16/16,LUK,2,RT,1,3
8/16/16,KIT,0,RT,1,5
8/16/16,KIT,1,RT,1,3
8/16/16,KIT,2,RT,1,4
8/16/16,KIT,2,RT,1,5
8/16/16,KIT,2,RT,1,4
8/16/16,KIT,2,RT,1,1
8/16/16,KIT,2,RT,1,1
8/16/16,KIT,3,RT,1,2
8/16/16,KIT,3,RT,1,3
8/16/16,KIT,3,RT,1,1
8/16/16,KIT,3,RT,1,3
8/16/16,KIT,3,RT,1,4
8/16/16,KIT,4,RT,1,0
8/16/16,KIT,4,RT,1,1
8/16/16,KIT,4,RT,1,2
