rookery,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
LUK,,224,94,,,,,,,,,,,,
KIT,21,40,60,85,91,66,,,,,,,,,
REE,,108,211,114,106,84,,162,174,72,78,6,,,
GOR,,153,98,168,70,156,151,,,,,,,,
ARD,,75,,,,,,,,,,,,,
MOR,108,146,144,154,89,175,115,,,,,,,,
VOS,,88,44,67,128,99,155,97,79,88,24,68,94,321,194
POL,,178,143,,,,,,,,,,,,
LPO,,,,,,,,,,,,,,,
PCL,,106,62,55,103,81,131,120,,,,,,,
TOL,,60,53,68,144,107,148,156,175,,,,,,
ZAR,,320,91,,,,,,,,,,,,
LZA,,55,85,110,105,95,158,,,,,,,,
ZAP,,51,111,113,144,96,152,131,108,,,,,,
SIV,,,,,,,,,,,,,,,
